odb_file,param_group,realization,borehole,borehole_id,target_x,target_y,node_z,calculated_head
Job_P001_R05.odb,1,5,zk107,BH15,446.731,266.563,485.742,470.4499
Job_P001_R05.odb,1,5,zk135,BH16,354.713,291.468,486.725,437.2529
Job_P001_R05.odb,1,5,zk134,BH17,312.24,229.995,489.426,445.577
Job_P001_R05.odb,1,5,zk108,BH18,329.522,202.805,491.454,457.0646
Job_P001_R05.odb,1,5,zk133,BH19,245.013,207.144,486.842,437.232
Job_P001_R05.odb,1,5,zk132,BH20,180.314,185.837,481.201,443.5331
Job_P001_R05.odb,1,5,zk109,BH21,166.718,120.398,482.295,444.6617
Job_P001_R05.odb,1,5,zk131,BH22,112.697,155.798,472.818,444.4517
Job_P001_R05.odb,1,5,zk110,BH23,63.104,220.681,460.829,430.6975
Job_P001_R06.odb,1,6,zk101,BH01,-107.247,837.298,460.635,452.4331
Job_P001_R06.odb,1,6,zk120,BH02,-79.056,786.162,460.024,435.2668
Job_P001_R06.odb,1,6,zk102,BH03,-1.701,784.3,474.041,446.0199
Job_P001_R06.odb,1,6,zk141,BH04,42.002,755.685,478.786,449.7601
Job_P001_R06.odb,1,6,zk103,BH05,97.323,727.843,485.133,448.6955
Job_P001_R06.odb,1,6,zk140,BH06,103.815,241.402,466.707,450.9863
Job_P001_R06.odb,1,6,zk139,BH07,189.974,727.986,498.776,465.067
Job_P001_R06.odb,1,6,zk138,BH08,234.402,695.424,499.305,450.1127
Job_P001_R06.odb,1,6,zk104,BH09,286.261,668.745,499.627,450.7047
Job_P001_R06.odb,1,6,zk137,BH10,328.931,675.79,502.079,476.6602
Job_P001_R06.odb,1,6,zk105,BH11,483.884,586.18,487.554,511.0265
Job_P001_R06.odb,1,6,zk410,BH12,416.455,437.474,482.247,506.3747
Job_P001_R06.odb,1,6,zk106,BH13,552.478,475.648,474.773,500.3819
Job_P001_R06.odb,1,6,zk136,BH14,393.028,343.22,484.06,464.3159
Job_P001_R06.odb,1,6,zk107,BH15,446.731,266.563,485.742,470.9919
Job_P001_R06.odb,1,6,zk135,BH16,354.713,291.468,486.725,438.1521
Job_P001_R06.odb,1,6,zk134,BH17,312.24,229.995,489.426,446.6983
Job_P001_R06.odb,1,6,zk108,BH18,329.522,202.805,491.454,457.1379
Job_P001_R06.odb,1,6,zk133,BH19,245.013,207.144,486.842,439.37
Job_P001_R06.odb,1,6,zk132,BH20,180.314,185.837,481.201,444.3067
Job_P001_R06.odb,1,6,zk109,BH21,166.718,120.398,482.295,446.0244
Job_P001_R06.odb,1,6,zk131,BH22,112.697,155.798,472.818,445.5354
Job_P001_R06.odb,1,6,zk110,BH23,63.104,220.681,460.829,430.2054
Job_P001_R07.odb,1,7,zk101,BH01,-107.247,837.298,460.635,453.9382
Job_P001_R07.odb,1,7,zk120,BH02,-79.056,786.162,460.024,436.5342
Job_P001_R07.odb,1,7,zk102,BH03,-1.701,784.3,474.041,445.9648
Job_P001_R07.odb,1,7,zk141,BH04,42.002,755.685,478.786,449.038
Job_P001_R07.odb,1,7,zk103,BH05,97.323,727.843,485.133,446.5651
Job_P001_R07.odb,1,7,zk140,BH06,103.815,241.402,466.707,451.7521
Job_P001_R07.odb,1,7,zk139,BH07,189.974,727.986,498.776,462.1555
Job_P001_R07.odb,1,7,zk138,BH08,234.402,695.424,499.305,447.1201
Job_P001_R07.odb,1,7,zk104,BH09,286.261,668.745,499.627,447.8256
Job_P001_R07.odb,1,7,zk137,BH10,328.931,675.79,502.079,475.0464
Job_P001_R07.odb,1,7,zk105,BH11,483.884,586.18,487.554,510.629
Job_P001_R07.odb,1,7,zk410,BH12,416.455,437.474,482.247,507.177
